building,point,view
klickitat,2272,2
coffeen,755,1
coffeen,489,4
beechwood,426,6
klickitat,614,0
lindenwood,2071,5
beechwood,109,9
lindenwood,420,0
lindenwood,2330,3
pinesdale,1417,4
stockman,1529,0
hanson,284,2
leonardo,435,5
woodbine,1788,12
shelbyville,1900,8
marstons,1382,4
pomaria,322,10
lindenwood,10,7
woodbine,1864,9
tolstoy,754,6
stockman,642,1
woodbine,836,4
beechwood,943,1
shelbyville,616,1
marstons,1923,3
pinesdale,802,2
shelbyville,2605,1
shelbyville,2265,3
klickitat,850,2
woodbine,1411,3
pinesdale,240,1
tolstoy,464,4
klickitat,1411,9
leonardo,1896,6
lindenwood,786,3
leonardo,1207,6
marstons,2215,2
forkland,163,9
hanson,1226,3
hanson,842,3
lindenwood,924,1
onaga,595,2
cosmos,733,7
ranchester,1467,1
newfields,1153,0
lindenwood,876,7
shelbyville,2807,3
hanson,471,9
cosmos,464,12
lindenwood,316,0
newfields,1472,2
beechwood,1050,3
shelbyville,1854,0
lindenwood,1583,2
lakeville,1598,8
ranchester,1446,6
wainscott,262,0
lindenwood,1754,1
ranchester,619,3
shelbyville,1881,5
tolstoy,81,0
coffeen,1191,5
lindenwood,2165,3
lindenwood,1815,2
lindenwood,333,1
klickitat,2338,12
forkland,395,1
merom,89,1
leonardo,954,4
shelbyville,240,4
marstons,2227,1
wainscott,943,0
pinesdale,1461,2
leonardo,529,15
newfields,1104,3
klickitat,1528,5
shelbyville,343,2
cosmos,232,1
newfields,922,1
stockman,317,2
newfields,933,4
hiteman,929,0
beechwood,7,5
klickitat,1015,3
lindenwood,2099,3
benevolence,320,1
marstons,2624,4
tolstoy,519,7
tolstoy,1758,6
pinesdale,192,0
leonardo,573,7
pomaria,565,11
lakeville,125,0
beechwood,417,3
pinesdale,1199,6
ranchester,549,7
tolstoy,1549,2
wainscott,6,1
benevolence,777,11
wainscott,628,1
tolstoy,1047,2
hiteman,964,4
beechwood,94,4
woodbine,1253,9
ranchester,1033,19
klickitat,419,3
hiteman,769,11
shelbyville,127,2
lakeville,41,4
klickitat,1116,0
pomaria,660,7
mifflinburg,237,1
pomaria,160,3
lindenwood,569,2
lindenwood,966,6
newfields,395,0
newfields,1599,4
shelbyville,953,8
klickitat,617,2
lakeville,1320,14
pinesdale,229,2
hiteman,745,13
newfields,598,6
hiteman,926,3
klickitat,829,10
pomaria,489,0
tolstoy,1705,0
beechwood,400,7
merom,329,1
leonardo,1426,3
pomaria,492,13
shelbyville,1759,1
ranchester,1562,1
klickitat,2344,0
benevolence,781,8
tolstoy,853,3
hanson,63,0
marstons,2524,0
beechwood,853,1
coffeen,1194,5
beechwood,1137,6
hanson,604,8
ranchester,760,0
klickitat,795,1
stockman,262,2
benevolence,609,0
tolstoy,1164,9
beechwood,1116,0
woodbine,1897,1
beechwood,468,11
forkland,557,1
pinesdale,326,5
shelbyville,2775,4
hiteman,940,6
shelbyville,1435,3
hiteman,1835,6
wainscott,475,2
hanson,1106,12
shelbyville,1959,2
pinesdale,108,0
hanson,35,7
stockman,450,3
onaga,79,1
marstons,1858,3
marstons,2136,12
shelbyville,2200,11
marstons,1811,0
hiteman,1687,0
klickitat,2241,3
wainscott,775,0
wainscott,1110,0
lakeville,1779,7
pinesdale,991,1
mifflinburg,494,2
lindenwood,894,1
leonardo,369,0
ranchester,651,1
hiteman,484,0
lindenwood,352,3
coffeen,1249,3
cosmos,916,0
klickitat,696,13
hiteman,1726,4
hanson,943,2
lindenwood,2667,2
leonardo,128,8
hiteman,730,7
coffeen,990,1
pinesdale,1328,1
forkland,246,2
ranchester,1406,1
woodbine,765,4
pomaria,1469,11
klickitat,107,3
tolstoy,522,0
woodbine,216,1
stockman,1010,4
lindenwood,1410,1
lindenwood,1720,6
klickitat,214,12
onaga,482,0
lindenwood,1869,0
mifflinburg,441,4
leonardo,1720,6
shelbyville,163,0
newfields,1184,5
klickitat,774,0
mifflinburg,895,3
lakeville,71,1
lakeville,1849,3
woodbine,1226,3
hanson,673,16
woodbine,936,6
pinesdale,1036,2
leonardo,616,5
cosmos,646,6
wainscott,1450,2
coffeen,354,3
wainscott,696,7
pinesdale,796,3
woodbine,29,7
shelbyville,1075,4
klickitat,380,6
wainscott,27,0
lakeville,1252,10
pomaria,44,2
hiteman,976,7
tolstoy,1050,15
lakeville,1311,11
cosmos,356,4
woodbine,984,11
klickitat,2285,5
marstons,1737,7
forkland,1122,1
hanson,765,1
marstons,2097,4
hiteman,49,1
klickitat,2321,6
wainscott,1427,7
klickitat,1291,2
hiteman,101,5
pomaria,338,0
wainscott,56,0
coffeen,891,4
merom,730,0
marstons,329,6
shelbyville,1284,2
cosmos,725,0
woodbine,563,1
pomaria,121,7
leonardo,410,2
hanson,964,3
cosmos,545,2
marstons,914,13
pomaria,1122,2
lakeville,293,4
shelbyville,2269,2
pomaria,471,2
onaga,635,1
marstons,1091,13
marstons,2205,3
mifflinburg,110,3
ranchester,917,5
woodbine,1059,2
wainscott,1387,6
beechwood,308,1
woodbine,714,2
lakeville,771,3
pomaria,834,0
onaga,519,6
leonardo,29,0
tolstoy,21,0
lindenwood,979,4
pinesdale,888,4
marstons,2237,0
pinesdale,6,0
hanson,385,8
leonardo,2035,6
newfields,529,6
beechwood,378,0
marstons,1856,2
shelbyville,790,4
lindenwood,578,2
lindenwood,1272,2
merom,328,0
newfields,714,5
tolstoy,1312,1
pomaria,11,1
hanson,391,0
hiteman,846,2
shelbyville,2085,1
woodbine,633,0
leonardo,2040,5
pomaria,488,8
mifflinburg,171,1
ranchester,132,7
pinesdale,1174,0
shelbyville,773,6
pinesdale,1,0
onaga,294,2
wainscott,1255,6
beechwood,68,0
wainscott,140,9
merom,917,2
lindenwood,1025,1
wainscott,1509,6
newfields,1222,14
lindenwood,478,1
newfields,1582,1
marstons,1278,7
cosmos,221,8
hiteman,543,0
marstons,467,4
leonardo,2102,9
lakeville,1436,4
hiteman,136,12
beechwood,134,3
cosmos,735,3
lakeville,747,3
pomaria,1186,3
lindenwood,975,1
leonardo,1310,3
tolstoy,6,8
lindenwood,843,2
forkland,488,2
woodbine,595,9
leonardo,1445,0
woodbine,504,5
beechwood,777,0
tolstoy,82,0
shelbyville,2352,9
klickitat,1660,0
marstons,947,3
lakeville,754,4
wainscott,418,12
shelbyville,1660,3
marstons,247,5
stockman,1438,3
hiteman,731,0
shelbyville,1542,2
marstons,36,4
stockman,906,2
leonardo,1065,1
klickitat,402,6
hanson,650,3
onaga,556,0
tolstoy,553,1
forkland,583,1
shelbyville,1518,0
hiteman,952,11
shelbyville,510,2
cosmos,839,0
marstons,1464,1
onaga,565,7
wainscott,310,0
mifflinburg,110,0
lindenwood,506,3
stockman,266,4
lakeville,1515,5
lakeville,1403,6
leonardo,1961,3
ranchester,227,2
lakeville,1178,5
leonardo,1098,0
ranchester,1157,2
pinesdale,1100,1
lakeville,178,4
marstons,11,8
shelbyville,1200,1
cosmos,126,7
merom,655,4
ranchester,1367,0
woodbine,1233,0
benevolence,469,6
tolstoy,202,4
merom,974,10
cosmos,710,6
beechwood,548,3
wainscott,132,4
merom,533,6
klickitat,1398,14
hanson,477,12
hanson,150,5
shelbyville,374,4
cosmos,379,0
tolstoy,480,1
klickitat,1500,0
pomaria,720,2
marstons,1894,10
lindenwood,575,0
pinesdale,1347,0
tolstoy,367,2
pomaria,803,2
benevolence,148,4
woodbine,1788,10
hanson,1510,12
shelbyville,1813,8
klickitat,1572,16
lindenwood,441,3
ranchester,362,0
coffeen,232,4
shelbyville,1170,8
lindenwood,845,0
lindenwood,808,0
klickitat,1845,1
benevolence,404,2
mifflinburg,384,3
lindenwood,2369,7
hanson,47,0
newfields,1404,1
wainscott,374,8
cosmos,198,3
mifflinburg,216,5
benevolence,357,7
lakeville,747,0
pinesdale,1362,5
shelbyville,1605,1
lakeville,1033,5
wainscott,1005,2
lindenwood,267,2
ranchester,1108,10
forkland,940,5
lakeville,73,8
shelbyville,2134,5
mifflinburg,528,0
lakeville,724,8
newfields,867,1
lindenwood,837,2
woodbine,1275,5
pinesdale,508,2
tolstoy,638,2
pinesdale,422,5
tolstoy,25,0
ranchester,991,6
pinesdale,295,2
lindenwood,772,0
hiteman,535,1
lindenwood,1892,0
wainscott,1242,6
woodbine,2020,0
merom,469,9
marstons,1186,8
woodbine,73,2
cosmos,917,3
stockman,485,2
tolstoy,1427,1
beechwood,189,2
hiteman,243,6
stockman,1222,8
forkland,1034,0
hanson,105,10
klickitat,42,5
marstons,2157,7
shelbyville,2008,2
lindenwood,2292,2
stockman,356,2
newfields,1106,0
marstons,1994,5
lindenwood,880,6
forkland,234,2
leonardo,2006,0
wainscott,1016,1
merom,1098,3
coffeen,1217,0
shelbyville,464,2
tolstoy,1462,3
leonardo,874,5
wainscott,1285,3
stockman,1590,2
mifflinburg,674,5
cosmos,223,1
lakeville,1806,2
merom,64,2
marstons,2310,1
pinesdale,519,0
pinesdale,1122,3
hiteman,866,12
marstons,444,3
pomaria,1068,8
leonardo,1790,13
beechwood,173,2
hiteman,1426,1
coffeen,430,0
lindenwood,1355,11
lakeville,1762,11
ranchester,351,1
lindenwood,609,2
tolstoy,649,9
tolstoy,1659,7
woodbine,1040,1
klickitat,1107,2
lindenwood,1665,0
ranchester,2,3
mifflinburg,377,6
pomaria,1217,10
wainscott,1169,9
marstons,804,1
tolstoy,78,9
ranchester,255,11
cosmos,899,8
tolstoy,1192,6
klickitat,119,7
marstons,441,2
klickitat,647,0
stockman,727,8
benevolence,355,6
newfields,976,1
wainscott,463,9
stockman,15,7
benevolence,115,5
coffeen,238,2
ranchester,1552,4
hiteman,402,5
lindenwood,1028,3
lakeville,474,0
pomaria,1493,0
coffeen,941,1
forkland,728,3
leonardo,701,0
coffeen,738,1
lakeville,453,2
tolstoy,766,2
leonardo,2014,4
marstons,1145,1
marstons,976,6
marstons,1888,4
merom,853,4
cosmos,364,4
marstons,349,6
klickitat,1018,5
pinesdale,783,0
coffeen,725,1
coffeen,0,6
lindenwood,2454,7
marstons,1639,1
forkland,70,2
klickitat,1106,9
woodbine,557,15
lakeville,602,5
klickitat,2165,4
mifflinburg,774,2
woodbine,267,10
lakeville,671,1
woodbine,233,0
pomaria,1081,5
lindenwood,777,1
merom,920,3
hanson,1054,3
hiteman,1580,9
lindenwood,2006,2
woodbine,1090,10
tolstoy,873,2
wainscott,1048,3
stockman,931,0
newfields,1039,0
tolstoy,1396,1
lakeville,313,9
forkland,1077,4
shelbyville,2742,4
lakeville,247,5
hiteman,43,1
klickitat,567,0
hiteman,1314,3
klickitat,2228,4
marstons,389,2
coffeen,1377,8
forkland,450,1
klickitat,2393,1
beechwood,570,0
marstons,1596,1
ranchester,471,2
shelbyville,1338,1
marstons,2471,6
lakeville,1177,4
marstons,307,0
woodbine,1108,3
shelbyville,1592,3
shelbyville,1934,2
ranchester,311,2
beechwood,1125,4
shelbyville,1845,7
coffeen,819,4
leonardo,669,8
klickitat,507,4
lakeville,1275,3
ranchester,1442,3
klickitat,930,4
stockman,1452,0
hiteman,1673,1
hiteman,871,11
stockman,807,8
klickitat,2204,6
stockman,1069,5
wainscott,1725,11
shelbyville,1538,8
marstons,2176,10
lindenwood,917,1
pinesdale,1050,8
pinesdale,1190,8
wainscott,863,3
marstons,1839,17
shelbyville,266,1
shelbyville,462,5
newfields,1204,2
newfields,1338,11
coffeen,427,0
shelbyville,1368,13
pinesdale,421,3
woodbine,1263,6
klickitat,12,4
leonardo,484,5
marstons,1665,2
coffeen,661,7
klickitat,769,8
woodbine,702,5
klickitat,573,0
shelbyville,2610,8
shelbyville,820,6
tolstoy,64,2
forkland,726,3
klickitat,2072,17
allensville,330,1
newfields,996,0
beechwood,286,2
benevolence,747,4
newfields,1198,2
hanson,1388,1
newfields,592,4
shelbyville,280,13
woodbine,23,10
pinesdale,1027,1
lindenwood,652,18
newfields,323,0
shelbyville,2260,10
shelbyville,2457,3
mifflinburg,412,1
marstons,1925,13
shelbyville,1872,6
lakeville,275,3
hanson,1568,0
allensville,92,0
stockman,447,5
tolstoy,381,0
lindenwood,1430,1
marstons,606,9
klickitat,555,6
lakeville,359,1
onaga,64,2
leonardo,939,1
hanson,1250,0
stockman,447,0
merom,706,3
lakeville,106,6
stockman,70,1
hiteman,1746,0
pinesdale,726,3
lakeville,1063,0
hiteman,499,3
wainscott,198,2
marstons,965,2
lakeville,1372,4
newfields,1266,3
lindenwood,899,12
merom,644,2
shelbyville,604,2
shelbyville,2093,8
klickitat,1173,1
lakeville,826,10
klickitat,243,0
klickitat,1043,11
lindenwood,1083,1
woodbine,622,6
lakeville,222,2
shelbyville,516,2
klickitat,1103,6
leonardo,1736,1
cosmos,558,4
coffeen,1400,1
shelbyville,2407,0
coffeen,998,0
mifflinburg,114,4
wainscott,815,11
newfields,543,0
wainscott,1307,4
hanson,280,3
shelbyville,128,4
benevolence,324,6
shelbyville,1686,4
allensville,247,1
beechwood,711,3
shelbyville,1363,5
ranchester,1593,0
newfields,1207,3
cosmos,930,3
leonardo,637,1
wainscott,342,0
merom,659,2
shelbyville,50,11
marstons,2468,3
lakeville,731,14
woodbine,1316,4
leonardo,932,11
lindenwood,1914,5
benevolence,501,2
marstons,1577,2
newfields,857,9
shelbyville,696,0
merom,1004,3
coffeen,1048,10
tolstoy,1454,7
lindenwood,1004,4
newfields,715,2
shelbyville,1903,4
klickitat,22,0
pomaria,957,3
pinesdale,12,2
ranchester,842,2
newfields,682,0
leonardo,418,5
wainscott,1109,2
coffeen,995,0
onaga,196,2
wainscott,1688,4
lindenwood,2120,3
forkland,235,2
onaga,220,0
marstons,2324,1
woodbine,1457,3
coffeen,1260,2
wainscott,671,9
marstons,2076,5
mifflinburg,509,0
hanson,130,1
shelbyville,722,15
pomaria,1006,1
benevolence,763,7
forkland,758,0
lindenwood,22,1
wainscott,781,8
pinesdale,1141,5
marstons,1495,1
klickitat,349,3
tolstoy,1092,6
coffeen,836,0
hiteman,1408,2
shelbyville,972,9
leonardo,1117,0
shelbyville,1519,4
tolstoy,1052,0
tolstoy,545,0
hanson,97,9
newfields,827,2
shelbyville,2189,1
pinesdale,12,4
klickitat,1658,4
shelbyville,1799,1
lakeville,52,1
lindenwood,920,7
shelbyville,48,4
stockman,638,3
klickitat,211,2
newfields,179,1
ranchester,779,1
marstons,173,15
wainscott,768,0
pomaria,1079,7
pomaria,1147,9
woodbine,1945,2
cosmos,179,3
merom,663,0
klickitat,532,5
lindenwood,628,0
stockman,1440,3
leonardo,402,1
shelbyville,2726,4
leonardo,458,5
leonardo,1510,3
klickitat,1038,10
marstons,2407,8
pinesdale,667,6
leonardo,1182,1
woodbine,314,0
hiteman,653,4
stockman,1543,0
cosmos,688,0
cosmos,50,5
hanson,485,2
shelbyville,547,1
cosmos,199,10
lindenwood,1029,6
hanson,145,4
shelbyville,2707,10
klickitat,2123,5
coffeen,1022,2
cosmos,976,7
hiteman,6,0
marstons,797,9
hanson,980,12
ranchester,360,13
pomaria,1241,2
hiteman,1278,1
hiteman,136,15
mifflinburg,846,0
cosmos,487,1
newfields,874,5
leonardo,392,11
tolstoy,1094,0
hiteman,198,19
lindenwood,2029,0
lindenwood,2454,9
stockman,949,4
pinesdale,587,7
lakeville,1139,0
wainscott,714,3
cosmos,389,4
lindenwood,574,6
lindenwood,1821,0
newfields,520,0
stockman,1230,2
marstons,2400,3
klickitat,2416,2
pinesdale,1428,12
marstons,443,1
marstons,3,6
hiteman,845,1
mifflinburg,956,2
lindenwood,1601,7
marstons,2543,0
klickitat,774,12
marstons,985,1
marstons,145,10
ranchester,1164,2
beechwood,1065,4
klickitat,1843,0
coffeen,785,0
hanson,895,10
beechwood,817,3
woodbine,1258,0
shelbyville,2314,3
tolstoy,827,8
hiteman,761,0
lindenwood,2,3
marstons,2563,9
woodbine,746,8
pomaria,1551,3
lindenwood,1088,3
hanson,1652,10
cosmos,1077,9
wainscott,948,4
onaga,144,2
beechwood,432,2
mifflinburg,272,0
hiteman,1275,2
shelbyville,1775,2
cosmos,1003,0
wainscott,696,9
pomaria,1113,6
ranchester,525,6
merom,954,3
coffeen,973,1
tolstoy,1103,9
klickitat,1118,3
leonardo,1905,3
klickitat,1548,3
klickitat,322,1
lakeville,1471,1
woodbine,354,0
mifflinburg,396,8
marstons,1333,4
lindenwood,1268,6
klickitat,2038,4
wainscott,981,3
klickitat,125,0
pinesdale,180,2
wainscott,439,2
lindenwood,1743,1
forkland,1110,1
stockman,449,6
coffeen,1048,1
newfields,170,5
pomaria,1455,4
beechwood,768,4
shelbyville,542,2
wainscott,836,5
hiteman,995,6
lakeville,692,10
klickitat,406,16
stockman,374,5
newfields,452,2
beechwood,543,3
woodbine,1866,11
tolstoy,1562,11
allensville,453,2
lindenwood,1043,5
hanson,173,2
wainscott,1508,7
newfields,1565,1
newfields,167,3
beechwood,54,2
marstons,411,7
ranchester,1422,12
lindenwood,2671,1
lindenwood,1796,3
tolstoy,1643,2
leonardo,1716,8
coffeen,1359,1
lindenwood,1243,5
shelbyville,2770,12
cosmos,864,1
tolstoy,186,2
hanson,1078,7
shelbyville,191,4
cosmos,389,12
hiteman,104,0
marstons,2659,0
marstons,1114,5
newfields,1384,3
cosmos,207,1
hanson,1425,7
lindenwood,2376,5
leonardo,579,2
tolstoy,625,0
tolstoy,1525,10
newfields,1056,3
marstons,502,12
lakeville,117,4
coffeen,598,3
woodbine,190,1
hiteman,1226,9
allensville,15,2
woodbine,1755,3
cosmos,563,2
pomaria,1130,5
lakeville,531,7
leonardo,2068,5
tolstoy,147,2
newfields,1301,17
lindenwood,936,5
shelbyville,2392,7
lindenwood,2063,0
shelbyville,2,10
lindenwood,1422,1
marstons,1821,1
cosmos,500,7
wainscott,579,3
wainscott,433,13
cosmos,434,0
lindenwood,2023,4
wainscott,1549,0
klickitat,675,3
coffeen,1450,1
ranchester,1501,1
klickitat,263,3
newfields,865,5
pomaria,94,10
pomaria,129,9
cosmos,963,8
ranchester,409,13
wainscott,72,5
shelbyville,275,4
woodbine,1661,1
tolstoy,402,9
mifflinburg,976,2
hanson,1288,0
woodbine,1310,0
klickitat,2153,4
coffeen,937,2
tolstoy,203,0
ranchester,53,1
klickitat,434,2
beechwood,592,2
ranchester,1208,3
merom,526,0
shelbyville,1242,0
lindenwood,853,7
marstons,1779,1
hanson,506,7
lindenwood,544,8
leonardo,152,12
shelbyville,2397,1
marstons,802,6
lindenwood,2527,9
klickitat,1870,2
lindenwood,870,4
leonardo,1424,2
cosmos,459,0
klickitat,1218,1
marstons,774,3
forkland,812,4
shelbyville,1437,3
shelbyville,1835,7
hiteman,64,5
ranchester,406,13
lakeville,812,4
beechwood,430,4
onaga,531,6
shelbyville,2047,8
woodbine,1256,7
pomaria,854,2
merom,876,6
stockman,1084,0
lindenwood,1336,1
hiteman,1045,4
hanson,1170,4
ranchester,1317,19
leonardo,896,12
tolstoy,179,15
hanson,792,1
pinesdale,1186,1
stockman,605,1
hanson,999,6
leonardo,2108,4
beechwood,529,4
wainscott,357,3
woodbine,1684,4
leonardo,1095,3
woodbine,1571,2
hanson,1189,18
shelbyville,2164,1
lindenwood,387,5
allensville,142,6
marstons,602,7
allensville,49,5
tolstoy,975,5
lakeville,1377,2
tolstoy,1168,5
lindenwood,2108,17
forkland,403,4
forkland,15,1
benevolence,939,2
ranchester,878,10
wainscott,1202,2
woodbine,915,1
lindenwood,1614,6
shelbyville,881,2
hanson,777,1
onaga,231,2
coffeen,521,1
klickitat,2302,8
forkland,1170,2
lakeville,1741,4
benevolence,513,2
shelbyville,2323,7
ranchester,1108,5
onaga,374,1
pomaria,917,1
benevolence,146,3
lindenwood,1402,10
wainscott,947,1
onaga,439,0
wainscott,316,0
wainscott,1573,3
pomaria,511,5
klickitat,1591,1
hanson,1231,13
stockman,1241,2
pinesdale,1145,5
wainscott,1081,0
ranchester,486,6
forkland,53,2
shelbyville,2361,14
klickitat,1430,6
leonardo,1386,2
lakeville,508,1
hanson,211,0
klickitat,2004,2
woodbine,682,13
tolstoy,171,3
klickitat,316,0
marstons,1165,1
shelbyville,725,9
tolstoy,410,14
coffeen,1201,1
woodbine,1307,2
tolstoy,1645,1
lindenwood,2050,1
woodbine,1050,6
woodbine,3,1
hanson,1451,1
forkland,871,5
klickitat,69,1
ranchester,222,13
marstons,2214,11
shelbyville,1314,8
marstons,1501,1
pinesdale,931,4
pomaria,1309,11
wainscott,1387,14
hiteman,85,1
stockman,1475,6
hiteman,1435,4
marstons,1629,13
lindenwood,2278,0
marstons,1307,2
lakeville,556,4
wainscott,12,1
merom,19,8
klickitat,2408,6
beechwood,758,1
ranchester,1368,3
klickitat,482,6
woodbine,15,5
klickitat,475,2
merom,425,0
shelbyville,1007,12
newfields,825,13
lakeville,1225,1
lindenwood,521,1
ranchester,218,3
hiteman,892,0
forkland,809,2
klickitat,479,21
hiteman,444,7
tolstoy,1755,7
woodbine,1485,1
marstons,1839,11
hanson,305,1
woodbine,1094,8
ranchester,736,5
klickitat,976,6
leonardo,406,1
klickitat,990,13
pomaria,535,5
shelbyville,122,16
lakeville,164,2
woodbine,1056,1
cosmos,619,3
lindenwood,1857,3
coffeen,802,6
merom,897,3
woodbine,441,2
lakeville,475,4
klickitat,1369,8
ranchester,1280,12
beechwood,241,6
leonardo,441,3
ranchester,681,5
cosmos,392,2
wainscott,1666,0
forkland,255,3
shelbyville,1555,1
wainscott,1345,3
lakeville,684,1
wainscott,655,1
lakeville,809,9
leonardo,979,3
wainscott,1147,6
forkland,1157,1
wainscott,10,2
woodbine,999,4
merom,705,3
leonardo,184,4
wainscott,502,4
benevolence,785,1
pomaria,452,0
lakeville,74,7
stockman,66,5
lakeville,1471,7
wainscott,234,4
pomaria,1028,5
merom,828,4
benevolence,863,0
tolstoy,700,5
marstons,2488,7
ranchester,94,8
shelbyville,1724,15
wainscott,1416,4
ranchester,429,11
pomaria,888,6
shelbyville,1347,5
marstons,1608,2
pomaria,858,4
newfields,1161,7
wainscott,658,9
mifflinburg,966,2
marstons,2445,2
lindenwood,137,3
ranchester,932,5
shelbyville,1256,7
pinesdale,702,4
shelbyville,67,1
tolstoy,85,2
stockman,1110,4
leonardo,579,17
onaga,167,0
woodbine,22,2
marstons,212,1
ranchester,992,3
hanson,1624,2
shelbyville,2782,2
leonardo,1958,5
lakeville,1342,10
tolstoy,1321,3
ranchester,1565,2
leonardo,1757,6
hiteman,507,0
forkland,421,2
marstons,1529,10
shelbyville,1257,8
klickitat,1930,12
beechwood,1095,2
marstons,1720,3
pinesdale,1376,5
klickitat,88,20
hanson,1069,6
pomaria,1147,13
shelbyville,2658,4
mifflinburg,404,0
merom,908,0
klickitat,324,9
tolstoy,1259,5
coffeen,430,4
pomaria,1512,5
klickitat,1037,0
shelbyville,1765,6
lakeville,880,4
pinesdale,1493,10
allensville,236,0
cosmos,228,2
wainscott,628,2
shelbyville,1395,0
lakeville,649,13
shelbyville,40,2
marstons,2472,0
leonardo,265,6
klickitat,1981,3
wainscott,898,5
lakeville,1783,4
pomaria,623,1
lakeville,949,2
wainscott,890,5
coffeen,1361,0
allensville,383,3
hiteman,507,11
wainscott,1322,3
mifflinburg,464,1
newfields,752,13
beechwood,777,2
klickitat,210,5
hiteman,1180,3
forkland,297,2
marstons,1013,6
ranchester,1140,4
lindenwood,827,6
beechwood,520,0
pomaria,382,0
ranchester,534,1
ranchester,929,2
ranchester,596,12
pomaria,1285,1
shelbyville,709,0
merom,805,0
hanson,644,5
pinesdale,336,3
beechwood,799,0
klickitat,166,10
lindenwood,2142,12
forkland,717,0
marstons,324,1
lindenwood,1269,0
pomaria,894,3
hiteman,1753,6
hiteman,68,6
stockman,1054,1
woodbine,1987,1
pinesdale,929,14
hiteman,1631,1
pinesdale,303,9
lindenwood,1311,8
stockman,1266,8
marstons,2044,0
coffeen,1377,1
wainscott,1162,6
lindenwood,461,0
klickitat,1244,1
shelbyville,2486,1
hanson,749,4
lakeville,1252,1
shelbyville,2512,8
marstons,1524,3
woodbine,1126,3
merom,1042,4
leonardo,1800,7
marstons,111,1
cosmos,811,5
woodbine,120,3
shelbyville,113,0
lakeville,1355,8
marstons,1874,16
hanson,411,1
hanson,746,2
klickitat,2106,0
woodbine,1276,3
lindenwood,652,6
wainscott,716,3
onaga,330,3
klickitat,1363,13
hanson,1183,6
coffeen,746,0
lindenwood,1259,2
shelbyville,727,9
lindenwood,1726,10
shelbyville,1006,3
newfields,376,2
forkland,778,2
beechwood,988,2
beechwood,1032,2
lindenwood,1775,6
hiteman,1732,4
klickitat,2228,0
hiteman,1215,4
leonardo,596,0
hiteman,1551,11
stockman,746,9
leonardo,1560,3
tolstoy,1550,3
hanson,1547,2
lindenwood,822,0
beechwood,2,4
pinesdale,750,3
klickitat,1594,2
forkland,231,2
hiteman,971,1
hiteman,1234,2
lakeville,336,4
woodbine,1440,8
ranchester,157,17
newfields,891,0
marstons,1113,12
pomaria,889,4
lindenwood,2184,1
hanson,50,1
lindenwood,2472,8
merom,943,0
ranchester,786,5
ranchester,1428,8
hanson,1036,4
woodbine,463,0
pomaria,1282,4
marstons,1765,15
lindenwood,937,16
lindenwood,2533,3
lindenwood,741,7
lakeville,1240,3
merom,39,8
klickitat,1852,1
ranchester,1022,2
hanson,887,3
leonardo,1941,2
marstons,2020,2
allensville,64,0
beechwood,770,3
lakeville,670,1
newfields,638,0
lakeville,94,6
woodbine,942,9
wainscott,821,9
marstons,957,5
newfields,1634,1
lakeville,1127,1
klickitat,1403,5
benevolence,2,5
ranchester,66,3
stockman,580,3
beechwood,871,5
benevolence,721,1
cosmos,259,3
klickitat,1234,4
pomaria,177,12
newfields,1234,0
tolstoy,1693,15
tolstoy,1677,3
marstons,1174,1
marstons,1930,0
marstons,0,1
klickitat,1414,1
wainscott,1225,1
hiteman,1064,4
pinesdale,1065,0
newfields,663,9
wainscott,983,4
pinesdale,421,6
hanson,697,3
klickitat,2294,6
wainscott,524,2
klickitat,1002,5
cosmos,1000,3
forkland,512,4
marstons,1714,8
shelbyville,281,7
tolstoy,1102,1
hanson,43,0
wainscott,1105,1
mifflinburg,417,1
klickitat,558,11
lindenwood,727,5
cosmos,62,7
woodbine,929,13
tolstoy,347,1
woodbine,295,8
ranchester,637,4
shelbyville,2294,8
pomaria,664,3
hiteman,569,2
klickitat,94,1
beechwood,830,1
stockman,1129,8
shelbyville,413,6
wainscott,327,1
tolstoy,1497,0
newfields,59,2
lakeville,586,6
hanson,1190,3
pinesdale,954,0
stockman,228,4
shelbyville,1546,2
forkland,762,2
ranchester,385,4
lakeville,1177,2
onaga,591,1
shelbyville,1983,3
lakeville,1048,0
shelbyville,1276,14
beechwood,703,11
leonardo,773,0
marstons,1731,11
tolstoy,1429,0
lakeville,672,13
marstons,211,2
hiteman,247,1
pomaria,1113,3
wainscott,1496,5
cosmos,275,0
marstons,2316,12
hanson,1571,1
coffeen,1305,3
pomaria,1260,5
pinesdale,506,1
coffeen,1471,0
woodbine,239,16
stockman,301,7
leonardo,1405,1
klickitat,319,5
coffeen,484,1
lakeville,672,7
stockman,439,1
hanson,952,0
klickitat,832,4
marstons,1212,2
leonardo,481,3
cosmos,93,2
cosmos,274,2
wainscott,167,4
marstons,2129,13
stockman,441,1
merom,30,8
wainscott,934,10
stockman,1380,7
shelbyville,343,9
allensville,141,7
benevolence,604,12
stockman,1449,2
hiteman,1779,8
hanson,1464,5
newfields,1088,5
shelbyville,1764,0
shelbyville,694,5
woodbine,1229,1
leonardo,491,1
mifflinburg,142,1
woodbine,871,1
stockman,1397,3
lakeville,1728,1
hanson,321,3
marstons,542,2
ranchester,1106,0
tolstoy,1114,2
marstons,15,3
tolstoy,61,5
marstons,2327,3
lakeville,953,5
lindenwood,2140,5
tolstoy,924,1
tolstoy,37,2
ranchester,897,5
